#separator:tab
#html:true
#columns:Point	PointRuby	Level	Meaning	Formation	Notes	Contrast	Examples	Tags
#tags column:9
〜そうだ (appearance)	〜そうだ (appearance)	N4	looks like / seems	Verb ます-stem / adjective stem + そうだ	An impression from what one can see. いい becomes よさそう, ない becomes なさそう.	Attached to a stem it means &quot;looks&quot;; attached to a plain form it means &quot;I hear&quot;.	<div class="ex"><div class="jp">このケーキはおいしそうです。</div><div class="en">This cake looks delicious.</div></div><div class="ex"><div class="jp"><ruby>雨<rt>あめ</rt></ruby>が<ruby>降<rt>お</rt></ruby>りそうだ。</div><div class="en">It looks like it&#x27;s going to rain.</div></div><div class="ex"><div class="jp">おいしそうですね。<ruby>僕<rt>ぼく</rt></ruby>も<ruby>試<rt>ため</rt></ruby>してみようかな。</div><div class="en">Looks delicious. Think I&#x27;ll try some.</div></div><div class="ex"><div class="jp">はい、そうです。あなたは<ruby>中野<rt>なかの</rt></ruby>さんですか。</div><div class="en">Yes, I am. Are you Mr Nakano?</div></div>	jlpt::N4
〜そうだ (hearsay)	〜そうだ (hearsay)	N4	I hear that ~	Plain form + そうだ	Reports information received. Has no negative or past form of its own.	Plain form + そうだ is hearsay; stem + そうだ is appearance.	<div class="ex"><div class="jp"><ruby>天気<rt>てんき</rt></ruby><ruby>予報<rt>よほう</rt></ruby>によると、<ruby>明日<rt>あした</rt></ruby>は<ruby>雨<rt>あめ</rt></ruby>だそうです。</div><div class="en">According to the forecast, it will rain tomorrow.</div></div><div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>は<ruby>来<rt>こ</rt></ruby>ないそうだ。</div><div class="en">I hear he isn&#x27;t coming.</div></div><div class="ex"><div class="jp">おいしそうですね。<ruby>僕<rt>ぼく</rt></ruby>も<ruby>試<rt>ため</rt></ruby>してみようかな。</div><div class="en">Looks delicious. Think I&#x27;ll try some.</div></div><div class="ex"><div class="jp">はい、そうです。あなたは<ruby>中野<rt>なかの</rt></ruby>さんですか。</div><div class="en">Yes, I am. Are you Mr Nakano?</div></div>	jlpt::N4
〜そうにない	〜そうにない	N4	unlikely to ~	Verb ます-stem + そうにない	The negative of appearance-そう: there is no sign of it happening.	そうにない negates the appearance; なさそう negates the adjective.	<div class="ex"><div class="jp"><ruby>今日<rt>きょう</rt></ruby>は<ruby>雨<rt>あめ</rt></ruby>が<ruby>降<rt>お</rt></ruby>りそうにない。</div><div class="en">It doesn&#x27;t look like it will rain today.</div></div><div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>は<ruby>来<rt>き</rt></ruby>そうにないです。</div><div class="en">He doesn&#x27;t seem likely to come.</div></div><div class="ex"><div class="jp">すぐには<ruby>別<rt>べつ</rt></ruby>の<ruby>提案<rt>ていあん</rt></ruby>を<ruby>受<rt>う</rt></ruby>けられそうにない。</div><div class="en">We are not likely to accept another offer any time soon.</div></div><div class="ex"><div class="jp">とても<ruby>明日<rt>あした</rt></ruby>までにこの<ruby>仕事<rt>しごと</rt></ruby>はすみそうにない。</div><div class="en">We can never begin to finish this work by tomorrow.</div></div>	jlpt::N4
〜たがる	〜たがる	N4	(someone else) wants to ~	Verb ます-stem + たがる	For third parties&#x27; desires, since Japanese avoids asserting others&#x27; feelings directly.	たい is for oneself; たがる is for others.	<div class="ex"><div class="jp"><ruby>子<rt>こ</rt></ruby>どもが<ruby>外<rt>そと</rt></ruby>で<ruby>遊<rt>あそ</rt></ruby>びたがっています。</div><div class="en">The child wants to play outside.</div></div><div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>は<ruby>日本<rt>にっぽん</rt></ruby>に<ruby>行<rt>い</rt></ruby>きたがっている。</div><div class="en">He wants to go to Japan.</div></div><div class="ex"><div class="jp">あなたが<ruby>話<rt>はなし</rt></ruby>をしたがっていたのは<ruby>誰<rt>だれ</rt></ruby>ですか。</div><div class="en">Who is it that you want to talk to?</div></div><div class="ex"><div class="jp">ほとんどの<ruby>人<rt>ひと</rt></ruby>は<ruby>幸福<rt>こうふく</rt></ruby>を<ruby>味<rt>あじ</rt></ruby>わいたがっている。</div><div class="en">Most people want to experience happiness.</div></div>	jlpt::N4
〜たところ	〜たところ	N4	just finished ~ing	Verb た-form + ところ	Marks the exact moment an action ended. ているところ is mid-action, るところ is about to start.	たところ is objectively just now; たばかり can be days ago.	<div class="ex"><div class="jp"><ruby>今<rt>いま</rt></ruby>、<ruby>駅<rt>えき</rt></ruby>に<ruby>着<rt>つ</rt></ruby>いたところです。</div><div class="en">I&#x27;ve just arrived at the station.</div></div><div class="ex"><div class="jp"><ruby>食事<rt>しょくじ</rt></ruby>が<ruby>終<rt>お</rt></ruby>わったところだ。</div><div class="en">The meal has just finished.</div></div><div class="ex"><div class="jp">ちょうどその<ruby>本<rt>ほん</rt></ruby>を<ruby>読<rt>よ</rt></ruby>み<ruby>終<rt>お</rt></ruby>わったところだよ。</div><div class="en">I have just finished reading the book.</div></div><div class="ex"><div class="jp"><ruby>小包<rt>こづつみ</rt></ruby>を<ruby>出<rt>だ</rt></ruby>しに<ruby>郵便<rt>ゆうびん</rt></ruby><ruby>局<rt>きょく</rt></ruby>へ<ruby>行<rt>い</rt></ruby>って<ruby>来<rt>き</rt></ruby>たところだ。</div><div class="en">I have just been to the post office to send a parcel.</div></div>	jlpt::N4
〜たばかり	〜たばかり	N4	just ~ed	Verb た-form + ばかり	Subjective: the speaker feels it was recent, however long ago it was.	〜たばかり is felt recency; 〜たところ is objective immediacy.	<div class="ex"><div class="jp"><ruby>日本<rt>にっぽん</rt></ruby>に<ruby>来<rt>き</rt></ruby>たばかりです。</div><div class="en">I have just come to Japan.</div></div><div class="ex"><div class="jp">ご<ruby>飯<rt>はん</rt></ruby>を<ruby>食<rt>た</rt></ruby>べたばかりだ。</div><div class="en">I&#x27;ve just eaten.</div></div><div class="ex"><div class="jp">あなたばかりでなく<ruby>私<rt>わたし</rt></ruby>もまちがっている。</div><div class="en">Not only you but also I am in the wrong.</div></div><div class="ex"><div class="jp">そこに<ruby>羽<rt>はね</rt></ruby>の<ruby>生<rt>は</rt></ruby>えたばかりの<ruby>小鳥<rt>ことり</rt></ruby>がありました。</div><div class="en">There was a fledgling bird there.</div></div>	jlpt::N4
〜ために (purpose)	〜ために (purpose)	N4	in order to ~	Verb dictionary form / Noun の + ために	Both clauses normally share a subject who acts deliberately.	ために needs a volitional verb; ように is used with potential and negative forms.	<div class="ex"><div class="jp"><ruby>日本語<rt>にほんご</rt></ruby>を<ruby>勉強<rt>べんきょう</rt></ruby>するために、<ruby>日本<rt>にっぽん</rt></ruby>へ<ruby>来<rt>き</rt></ruby>ました。</div><div class="en">I came to Japan in order to study Japanese.</div></div><div class="ex"><div class="jp"><ruby>家族<rt>かぞく</rt></ruby>のために<ruby>働<rt>はたら</rt></ruby>いています。</div><div class="en">I work for my family&#x27;s sake.</div></div>	jlpt::N4
〜たら	〜たら	N4	if / when ~	Verb・adjective た-form + ら / Noun + だったら	The most flexible conditional. Works for hypothetical, temporal and discovered-fact situations.	たら allows a request or command in the second clause; と does not.	<div class="ex"><div class="jp"><ruby>雨<rt>あめ</rt></ruby>が<ruby>降<rt>ふ</rt></ruby>ったら、<ruby>行<rt>い</rt></ruby>きません。</div><div class="en">If it rains, I won&#x27;t go.</div></div><div class="ex"><div class="jp"><ruby>家<rt>いえ</rt></ruby>に<ruby>着<rt>つ</rt></ruby>いたら、<ruby>電話<rt>でんわ</rt></ruby>してください。</div><div class="en">When you get home, please call me.</div></div>	jlpt::N4
〜たらどうですか	〜たらどうですか	N4	why don&#x27;t you ~?	Verb た-form + らどうですか	A suggestion. Can sound pushy if overused with superiors.	Softer than なさい, more direct than ほうがいい.	<div class="ex"><div class="jp"><ruby>少<rt>すこ</rt></ruby>し<ruby>休<rt>やす</rt></ruby>んだらどうですか。</div><div class="en">Why don&#x27;t you rest a little?</div></div><div class="ex"><div class="jp"><ruby>医者<rt>いしゃ</rt></ruby>に<ruby>相談<rt>そうだん</rt></ruby>したらどう。</div><div class="en">Why not consult a doctor?</div></div><div class="ex"><div class="jp">もう<ruby>少<rt>すこ</rt></ruby>し<ruby>待<rt>ま</rt></ruby>ったらどう。すぐにはれるから。</div><div class="en">You may as well wait for a while. It&#x27;ll clear up soon.</div></div><div class="ex"><div class="jp">もし<ruby>万一<rt>まんいち</rt></ruby><ruby>彼<rt>かれ</rt></ruby>が<ruby>失敗<rt>しっぱい</rt></ruby>したらどうなるだろうか。</div><div class="en">What if he should fail?</div></div>	jlpt::N4
〜たり (single)	〜たり (single)	N4	do things like ~	Verb た-form + り + する	One listed action implies others of the same kind.	The paired 〜たり〜たり is far more common.	<div class="ex"><div class="jp"><ruby>休<rt>やす</rt></ruby>みの<ruby>日<rt>ひ</rt></ruby>は<ruby>音楽<rt>おんがく</rt></ruby>を<ruby>聞<rt>き</rt></ruby>いたりします。</div><div class="en">On days off I listen to music and so on.</div></div><div class="ex"><div class="jp">その<ruby>男<rt>おとこ</rt></ruby>は<ruby>腕<rt>うで</rt></ruby>を<ruby>組<rt>く</rt></ruby>んだりほどいたりしていた。</div><div class="en">The man was folding and unfolding his arms.</div></div><div class="ex"><div class="jp">クマはおりの<ruby>中<rt>なか</rt></ruby>を<ruby>行<rt>おこな</rt></ruby>ったり<ruby>来<rt>き</rt></ruby>たりしている。</div><div class="en">The bear is walking up and down in the cage.</div></div><div class="ex"><div class="jp">バスはほとんど<ruby>空<rt>そら</rt></ruby>で<ruby>行<rt>おこな</rt></ruby>ったり<ruby>来<rt>き</rt></ruby>たりしていた。</div><div class="en">The buses ran back and forth almost empty.</div></div>	jlpt::N4
〜つもりだ	〜つもりだ	N4	intend to ~	Verb dictionary form / ない-form + つもりだ	A settled personal intention.	つもり is the speaker&#x27;s own plan; 予定 is a scheduled arrangement.	<div class="ex"><div class="jp"><ruby>来年<rt>らいねん</rt></ruby><ruby>日本<rt>にっぽん</rt></ruby>へ<ruby>行<rt>い</rt></ruby>くつもりです。</div><div class="en">I intend to go to Japan next year.</div></div><div class="ex"><div class="jp"><ruby>今日<rt>きょう</rt></ruby>は<ruby>何<rt>なに</rt></ruby>もしないつもりだ。</div><div class="en">I intend to do nothing today.</div></div><div class="ex"><div class="jp">あさって<ruby>彼<rt>かれ</rt></ruby>にここへ<ruby>来<rt>き</rt></ruby>てもらうつもりです。</div><div class="en">I will have him come here the day after tomorrow.</div></div><div class="ex"><div class="jp">あなたはいつタバコを<ruby>止<rt>と</rt></ruby>めるつもりですか。</div><div class="en">When are you going to quit smoking?</div></div>	jlpt::N4
〜てあげる	〜てあげる	N4	do ~ for someone	Verb て-form + あげる	The speaker does a favour for someone else. Saying it directly to a superior sounds condescending.	あげる gives outward, くれる comes inward, もらう receives.	<div class="ex"><div class="jp"><ruby>友達<rt>ともだち</rt></ruby>に<ruby>本<rt>ほん</rt></ruby>を<ruby>貸<rt>か</rt></ruby>してあげました。</div><div class="en">I lent my friend a book.</div></div><div class="ex"><div class="jp"><ruby>妹<rt>いもうと</rt></ruby>に<ruby>宿題<rt>しゅくだい</rt></ruby>を<ruby>教<rt>おし</rt></ruby>えてあげた。</div><div class="en">I helped my little sister with her homework.</div></div><div class="ex"><div class="jp">おいしい<ruby>温<rt>あたた</rt></ruby>かい<ruby>夕食<rt>ゆうしょく</rt></ruby>を<ruby>作<rt>つく</rt></ruby>ってあげましたよ。</div><div class="en">I&#x27;ve cooked you a nice hot dinner.</div></div><div class="ex"><div class="jp">ボーイフレンドに<ruby>何<rt>なに</rt></ruby>を<ruby>買<rt>か</rt></ruby>ってあげましたか。</div><div class="en">What did you buy for your boyfriend?</div></div>	jlpt::N4
〜てある	〜てある	N4	has been ~ed (state from an action)	Transitive verb て-form + ある	Something was done on purpose and the result remains. The object usually takes が.	てある implies a deliberate agent; ている with an intransitive verb just describes a state.	<div class="ex"><div class="jp"><ruby>壁<rt>かべ</rt></ruby>に<ruby>絵<rt>え</rt></ruby>が<ruby>掛<rt>か</rt></ruby>けてあります。</div><div class="en">A picture has been hung on the wall.</div></div><div class="ex"><div class="jp"><ruby>窓<rt>まど</rt></ruby>が<ruby>開<rt>あ</rt></ruby>けてある。</div><div class="en">The window has been left open.</div></div><div class="ex"><div class="jp"><ruby>両親<rt>りょうしん</rt></ruby>にあなたの<ruby>計画<rt>けいかく</rt></ruby>を<ruby>知<rt>し</rt></ruby>らせてありますか。</div><div class="en">Have you acquainted your parents with your plans?</div></div><div class="ex"><div class="jp"><ruby>私<rt>わたし</rt></ruby>の<ruby>名前<rt>なまえ</rt></ruby>と<ruby>住所<rt>じゅうしょ</rt></ruby>はこれに<ruby>書<rt>か</rt></ruby>いてあります。</div><div class="en">My name and address are on it.</div></div>	jlpt::N4
〜ていく	〜ていく	N4	go on ~ing / ~ away from now	Verb て-form + いく	Change moving away from the present, or an action done while leaving.	ていく moves away from now; てくる moves toward now.	<div class="ex"><div class="jp">これから<ruby>寒<rt>さむ</rt></ruby>くなっていきます。</div><div class="en">It will get colder from now on.</div></div><div class="ex"><div class="jp"><ruby>朝<rt>あさ</rt></ruby>ご<ruby>飯<rt>はん</rt></ruby>を<ruby>食<rt>た</rt></ruby>べていきます。</div><div class="en">I&#x27;ll eat breakfast before I go.</div></div><div class="ex"><div class="jp">チャイナタウンにはどうやっていきますか。</div><div class="en">How do I get to Chinatown?</div></div><div class="ex"><div class="jp"><ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>毎晩<rt>まいばん</rt></ruby><ruby>彼<rt>かれ</rt></ruby>の<ruby>家<rt>いえ</rt></ruby>に<ruby>夕食<rt>ゆうしょく</rt></ruby>を<ruby>持<rt>も</rt></ruby>っていきます。</div><div class="en">She takes dinner to his house every evening.</div></div>	jlpt::N4
